dateOnset,nb_Huanan,nb_nonHuanan,nb_falsePositive
2019-12-01,0,0,0
2019-12-02,0,0,1
2019-12-03,0,0,0
2019-12-04,0,0,0
2019-12-05,0,0,0
2019-12-06,0,0,0
2019-12-07,0,0,1
2019-12-08,0,0,0
2019-12-09,0,0,0
2019-12-10,1,1,0
2019-12-11,0,0,0
2019-12-12,4,1,0
2019-12-13,1,0,0
2019-12-14,1,0,0
2019-12-15,1,1,0
2019-12-16,1,1,0
2019-12-17,2,0,0
2019-12-18,0,0,0
2019-12-19,1,1,0
2019-12-20,5,2,0
2019-12-21,2,0,0
2019-12-22,2,1,0
2019-12-23,2,0,0
2019-12-24,3,1,0
2019-12-25,2,1,0
2019-12-26,2,1,0
2019-12-27,1,2,0
2019-12-28,0,0,0
2019-12-29,0,2,0
2019-12-30,0,0,0
2019-12-31,0,1,0
