"","onset","all_case","household_case","household_sym_case","household_asym_case"
"1",2019-12-02,1,1,1,0
"2",2019-12-08,1,1,1,0
"3",2019-12-11,1,1,1,0
"4",2019-12-12,4,3,3,0
"5",2019-12-15,4,4,4,0
"6",2019-12-16,1,1,1,0
"7",2019-12-17,7,3,3,0
"8",2019-12-18,3,3,3,0
"9",2019-12-19,2,1,1,0
"10",2019-12-20,12,11,11,0
"11",2019-12-21,6,3,3,0
"12",2019-12-22,11,11,11,0
"13",2019-12-23,13,8,8,0
"14",2019-12-24,12,7,7,0
"15",2019-12-25,13,6,6,0
"16",2019-12-26,7,5,5,0
"17",2019-12-27,26,11,11,0
"18",2019-12-28,11,7,7,0
"19",2019-12-29,16,10,10,0
"20",2019-12-30,24,11,11,0
"21",2019-12-31,16,12,12,0
"22",2020-01-01,73,58,58,0
"23",2020-01-02,63,40,40,0
"24",2020-01-03,65,50,50,0
"25",2020-01-04,46,29,29,0
"26",2020-01-05,78,53,53,0
"27",2020-01-06,64,45,45,0
"28",2020-01-07,71,47,47,0
"29",2020-01-08,125,91,91,0
"30",2020-01-09,117,78,78,0
"31",2020-01-10,187,116,116,0
"32",2020-01-11,168,104,104,0
"33",2020-01-12,214,160,160,0
"34",2020-01-13,281,203,203,0
"35",2020-01-14,296,206,206,0
"36",2020-01-15,404,278,278,0
"37",2020-01-16,458,321,321,0
"38",2020-01-17,572,375,375,0
"39",2020-01-18,653,439,439,0
"40",2020-01-19,667,465,465,0
"41",2020-01-20,1254,880,880,0
"42",2020-01-21,1222,851,847,4
"43",2020-01-22,1552,1149,1146,3
"44",2020-01-23,1937,1411,1409,2
"45",2020-01-24,2031,1546,1544,2
"46",2020-01-25,2033,1560,1558,2
"47",2020-01-26,2092,1651,1651,0
"48",2020-01-27,1955,1523,1520,3
"49",2020-01-28,2040,1649,1644,5
"50",2020-01-29,1670,1338,1336,2
"51",2020-01-30,1899,1560,1556,4
"52",2020-01-31,1662,1331,1330,1
"53",2020-02-01,3418,2688,2683,5
"54",2020-02-02,1784,1483,1480,3
"55",2020-02-03,1656,1384,1381,3
"56",2020-02-04,1513,1233,1231,2
"57",2020-02-05,1639,1416,1415,1
"58",2020-02-06,1276,1061,1060,1
"59",2020-02-07,1267,1045,1043,2
"60",2020-02-08,1170,942,942,0
"61",2020-02-09,864,704,698,6
"62",2020-02-10,1258,924,923,1
"63",2020-02-11,862,708,707,1
"64",2020-02-12,1041,776,767,9
"65",2020-02-13,976,735,722,13
"66",2020-02-14,758,545,542,3
"67",2020-02-15,607,536,514,22
"68",2020-02-16,544,435,422,13
"69",2020-02-17,690,411,395,16
"70",2020-02-18,620,467,427,40
"71",2020-02-19,365,268,229,39
"72",2020-02-20,319,277,233,44
"73",2020-02-21,411,246,196,50
"74",2020-02-22,270,162,148,14
"75",2020-02-23,240,157,113,44
"76",2020-02-24,215,168,139,29
"77",2020-02-25,224,119,98,21
"78",2020-02-26,220,93,79,14
"79",2020-02-27,114,77,69,8
"80",2020-02-28,110,54,50,4
"81",2020-02-29,73,47,36,11
"82",2020-03-01,95,66,56,10
"83",2020-03-02,83,45,37,8
"84",2020-03-03,81,61,48,13
"85",2020-03-04,63,42,28,14
"86",2020-03-05,58,46,34,12
"87",2020-03-06,39,19,14,5
"88",2020-03-07,80,39,17,22
"89",2020-03-08,33,17,11,6
"90",2020-03-09,34,26,20,6
"91",2020-03-10,34,25,13,12
"92",2020-03-11,23,13,9,4
"93",2020-03-12,33,13,9,4
"94",2020-03-13,23,13,5,8
"95",2020-03-14,15,12,10,2
"96",2020-03-15,15,12,9,3
"97",2020-03-16,20,17,7,10
"98",2020-03-17,14,10,10,0
"99",2020-03-18,11,9,3,6
"100",2020-03-19,12,10,7,3
"101",2020-03-20,39,20,10,10
"102",2020-03-21,13,10,8,2
"103",2020-03-22,11,9,5,4
"104",2020-03-23,10,9,4,5
"105",2020-03-24,17,7,6,1
"106",2020-03-25,27,8,4,4
"107",2020-03-26,23,21,11,10
"108",2020-03-27,17,11,6,5
"109",2020-03-28,12,12,7,5
"110",2020-03-29,11,11,5,6
"111",2020-03-30,20,15,5,10
"112",2020-03-31,35,31,0,31
"113",2020-04-01,42,39,1,38
"114",2020-04-02,34,29,0,29
"115",2020-04-03,25,24,0,24
"116",2020-04-04,16,16,0,16
"117",2020-04-05,23,23,0,23
"118",2020-04-06,28,26,1,25
"119",2020-04-07,23,20,0,20
"120",2020-04-08,18,14,0,14
"121",2020-04-09,14,12,0,12
"122",2020-04-10,23,20,1,19
"123",2020-04-11,17,11,0,11
"124",2020-04-12,36,17,0,17
"125",2020-04-13,31,16,0,16
"126",2020-04-14,26,16,0,16
"127",2020-04-15,27,10,0,10
"128",2020-04-16,24,13,0,13
"129",2020-04-17,15,4,0,4
"130",2020-04-18,3,1,0,1
