date_sympOnset,nb_Cases
2019-09-18,1
2019-09-23,1
2019-09-27,1
2019-09-30,1
2019-10-01,4
2019-10-03,3
2019-10-05,1
2019-10-07,1
2019-10-09,2
2019-10-10,1
2019-10-11,3
2019-10-12,1
2019-10-13,3
2019-10-16,2
2019-10-17,2
2019-10-18,3
2019-10-19,1
2019-10-20,2
2019-10-22,1
2019-10-23,2
2019-10-25,1
2019-10-26,1
2019-10-27,1
2019-10-28,3
2019-10-30,1
2019-10-31,1
2019-11-01,2
2019-11-02,1
2019-11-03,1
2019-11-05,1
2019-11-06,1
2019-11-08,1
2019-11-09,1
2019-11-10,3
2019-11-13,2
2019-11-14,1
2019-11-15,2
2019-11-16,3
2019-11-17,1
2019-11-18,2
2019-11-19,2
2019-11-20,1
2019-11-22,2
2019-11-23,1
2019-11-26,2
2019-11-27,2
2019-11-28,1
2019-12-01,2
2019-12-02,1
2019-12-04,1
2019-12-05,1
2019-12-06,3
2019-12-07,1
